username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Smallicedcoffee💧☕️,2705482789,"Los Angeles, CA",2023-01-20 21:22:07,I need more coffee today https://t.co/KmE5YRIYYr,0,Twitter for iPhone,
🇺🇸DragonDavid🏳️‍🌈,1370166966112030720,"Los Angeles, CA",2023-01-20 21:18:11,@TimcastNews I’m not giving up damn coffee.,0,Twitter for iPad,
Marmalade Sunset Print and Design,909921164549545984,"Los Angeles, CA",2023-01-20 21:17:39,A Friend Loves at All Times Coffee Mug / https://t.co/ImqXrGlsEV https://t.co/sULSFqW1MQ,0,IFTTT,
Jerry in L.A. 🌊✊🏻🇺🇸 🦅#24🏀🟣🟡,1215185892,"Los Angeles, CA",2023-01-20 21:16:33,@coffee_anytime Soda and Beer.,0,Twitter Web App,
gemmz.eth/tez/og💎,1432931979348033538,Los Angeles,2023-01-20 21:14:17,@NftFruit hmmmm coffee,0,Twitter Web App,
umtbec,479840040,Los Angeles,2023-01-20 21:11:20,Coffee and Beer,0,Twitter for Android,
Meli Grant,92737353,"Los Angeles, CA",2023-01-20 21:05:39,"I am sleepy. But I have coffee. Want to come hang out and play @TOMERPG?

https://t.co/a2sS62OG9Q",2,Twitter Web App,
Colin Crandall MMA,2796826896,Los Angeles Ca.,2023-01-20 21:03:56,"@MisterBandres Peet’s or coffee, bean and tea leaf",0,Twitter for iPhone,
Adam Newman,33249013,"Los Angeles, CA",2023-01-20 21:01:51,Who makes the best decaf coffee? I don't care if it's in a grocery store or if I gotta order it from a dude with a soul patch.,0,Twitter Web App,
Mark McClure,23635197,"Los Angeles, CA",2023-01-20 21:01:37,"Please quit tagging in your MLM jobs. No one wants your fat shrinking saran wrap, weight loss gummy bears and your… https://t.co/wErYwicZUn",0,Twitter for Android,
TheRealP1,2577658094,"Los Angeles, CA",2023-01-20 20:58:16,Feels good being off work! Time to make some magic videos!! Well…. After this movie an coffee lol,1,Twitter for iPhone,
kurtsh@mastodon.social,17773905,"Los Angeles, CA, USA",2023-01-20 20:56:14,"@lukeklinker This is the 1st direct (non-crossposted) message I've sent on Twitter in months.

Luke - Thank you for… https://t.co/pH2bc0R4py",0,Twitter Web App,
LOGO COSMIC,1461448433408122881,"Los Angeles, California, USA",2023-01-20 20:50:54,"So, before you turn your computer on, make sure to have a nice, warm cup of coffee so that you can stay wide awake… https://t.co/kjCTRn6b8B",0,Twitter Web App,
Ariana,1595969796901945345,"LA, CA",2023-01-20 20:50:43,Waking up to a flavorful cup of coffee is the ideal start to start a day at work ☕️ #coffeeaddict #morningroutine,0,Twitter Web App,
The Bloc,1250420450,Downtown Los Angeles,2023-01-20 20:50:09,"What little things are you grateful for? We’ll go first: Starbucks coffee and fuzzy socks. 😊

#theblocla #dtla… https://t.co/yp2OonMlYF",0,Twittimer,
Woodrow White,2875270678,"Los Angeles, CA",2023-01-20 20:46:43,you just know the coffee here is shit https://t.co/f86AmJTWWx,0,Twitter Web App,
Alyssa 🐞,1426102415770587136,"Los Angeles, CA",2023-01-20 20:39:09,Dropped my $7 coffee💔💔,0,Twitter for iPhone,
Cat Baklarz,1284362045698105345,Los Angeles,2023-01-20 20:38:31,"“#Aquarius might be a weekend warrior looking to improve their communities, or they may be quietly #blogging about… https://t.co/ewjDh2aY34",0,Twitter Web App,
Ariel ☯︎,361463136,LA,2023-01-20 20:32:22,I believe I may need a second coffee today 🥱,0,Twitter for iPhone,
New Year's Sam,14520926,"Los Angeles, CA",2023-01-20 20:31:53,@DJMEATDADDY The 285Kent cocaine roller girl but she has donuts and iced coffee,0,Twitter for iPhone,
KailelleXD || 🌦️🏝✨,1242141632369049600,"Los Angeles, CA",2023-01-20 20:31:06,"@sweet_leef oh yea that's pretty dumb/frustrating 😩😩😩

Need like a coffee cup that says ""That's what I f*cking said"" 😂",0,Twitter Web App,
Emily ☄️,1547668397353119746,"Los Angeles, CA",2023-01-20 20:27:38,@ASOMIRAGE I LOVE THAT COFFEE MUG,0,Twitter for iPhone,
ANDREW PETTKE,121142693,"Santa Monica, CA",2023-01-20 20:24:45,"@danacarvey Morning poop after coffee. I sing it daily, that exact way.",0,Twitter for iPhone,
Mr. Mo'Kelly 🎙️📺,22596600,Los Angeles,2023-01-20 20:23:49,"Thank you to @theGrio for having me on to discuss the #BillCosby comedy tour, coming to a backyard near you!

https://t.co/cvpU61RMIc",1,Twitter for Android,
sed,1136170498700656640,"Los Angeles, CA",2023-01-20 20:21:35,nobody talk about my order i was really craving coffee and oatmilk today… i normally order brown sugar 😭,0,Twitter for iPhone,
Tyler Dagoto The Government 🏴‍☠️,156051079,"Los Angeles, CA",2023-01-20 20:20:54,robbed me in 2020 December to January. I just needed everyone to know. They poisoned me with some acid molecule com… https://t.co/hzWnujv6Qc,0,Twitter for iPhone,
Jerry in L.A. 🌊✊🏻🇺🇸 🦅#24🏀🟣🟡,1215185892,"Los Angeles, CA",2023-01-20 20:17:52,@coffee_anytime Thousand island,0,Twitter Web App,
Masked Mark Masek 🇺🇸🇺🇦🇮🇪🏳️‍🌈⚾️🍕,60699409,Chicago / Los Angeles,2023-01-20 20:16:48,@DonnaHerself I'm old enough to remember Jacob Wohl and his hipster coffee shop. https://t.co/56rhMDjw6Q,0,Twitter Web App,
ZeroDarkTony,1304862344212742144,"Los Angeles, CA",2023-01-20 20:16:48,@TheQuartering Google “CHILD SLAVE LABOR COFFEE”,0,Twitter for iPhone,
Masked Mark Masek 🇺🇸🇺🇦🇮🇪🏳️‍🌈⚾️🍕,60699409,Chicago / Los Angeles,2023-01-20 20:15:20,@Helen_Highly I bet it was the same hipster coffee shop Jacob Wohl went to. https://t.co/UyOCit8MYL,0,Twitter Web App,
Karan,1497104433208967168,"Los Angeles, CA",2023-01-20 20:14:55,How is coffee not flammable,0,Twitter for iPhone,
Jessica Gudino,25466237,"Los Angeles, CA",2023-01-20 20:14:02,@paolamayfield Im not a talker AND I dont like to be talked to in the morning. I need at least an hour to myself to… https://t.co/NgKBRQevtv,0,Twitter for Android,
Geoff Wolfe,6958042,"Los Angeles, CA",2023-01-20 20:13:14,My coffee mug is seasoned like a good cast iron skillet.,0,Twitter Web App,
Herceny,96170346,Los Angeles,2023-01-20 20:13:11,"My wish for you is for you to one day drink good coffee! Coffee picked, dried and roasted correctly that will enhan… https://t.co/GNsyphlQun",0,Twitter Web App,
Cullen Crawford,317394465,"Los Angeles, CA",2023-01-20 20:10:34,@pattymo go get a frozen irish coffee youve got more eating and drinking to do,0,Twitter for Android,
Watchinga,340681610,"Los Angeles, CA",2023-01-20 20:08:33,Walmart just slashed the price on this best-selling Keurig coffee maker https://t.co/Bsi2md6mox #trending,0,dlvr.it,
taylor,799704642,Los Angeles - she/her,2023-01-20 20:03:52,the second pic is exactly what I look like going to get coffee extremely hungover and gagging after a night out https://t.co/mcMKybeWa0,0,Twitter for iPhone,
Craig Fowler,1387116209129234432,Los Angeles,2023-01-20 20:03:15,"@raihan_ hot coffee in the morning, cold brew at 2pm no matter what the temp",0,Twitter Web App,
Karla,1037220776833888259,"Los Angeles, CA",2023-01-20 20:02:40,I love my older co worker she was like “At 2 will have a muffin with some coffee” 🤣🥹,0,Twitter for iPhone,
The Sterling Firm ⚖️,2500476224,Los Angeles,2023-01-20 20:02:05,☕️ Coffee With A Lawyer! FREE Zoom Meeting! Must RSVP! Get answers to your legal questions and have your consultati… https://t.co/1y72x5WpYh,0,Hootsuite Inc.,
Ryan Colt Levy🩸CHAINSAW MAN,1055498014008070144,"Los Angeles, CA",2023-01-20 19:59:13,@spuuky I spit up my coffee,0,Twitter for iPhone,
Stn,1288500991567036417,Arcadia ,2023-01-20 19:58:01,"@noMEVjustEMT @KoreanBotNo185 In a mere second, I went from talking to a nice German girl to scooping up rubbish wi… https://t.co/lpQky1HaAg",0,Twitter Web App,
Leonard Kim ✝️📝📚,1629244514,Los Angeles,2023-01-20 19:56:17,It's wild – how much a simple coffee a day – changes the outcome of a person's financial future. https://t.co/3Z00M4ySbO,1,Twitter Web App,
🐢,380020026,Los Angeles,2023-01-20 19:55:45,The fact that coffee isn’t even making my day better smh,0,Twitter for iPhone,
