username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Ben Hildner,25826758,"Portland, OR",2023-01-20 21:12:39,@MurseWordsworth I love my 4:30am wake-up. Coffee before anything. Usually run 4 miles followed by chest/triceps; c… https://t.co/KXHPFEqxrH,0,Twitter for iPhone,
Sprudge,73280005,"Portland, OR",2023-01-20 20:43:34,"""I love that we can highlight Filipino culture through a unique and popular drink like the Ube latte. It truly is a… https://t.co/DyUkQ8uipJ",1,CoSchedule,
Moccamaster USA,722491451662204929,"Portland, OR",2023-01-20 20:41:20,Keep your coffee hotter longer with the new thermal carafes for the KBGT and KBT Moccamaster coffee brewers. Featur… https://t.co/EARxY6YaLF,0,Sprout Social,
Modern Rice 🏳️‍⚧️🏳️‍🌈,893260302954844160,"Portland, OR",2023-01-20 20:32:57,Whelp the day started with me ruining the coffee and one of our dogs getting off his leash and ALMOST getting hit b… https://t.co/vcQpOwDqfk,0,Twitter for iPhone,
Rex Bentley,1422284461031321600,"Portland, OR",2023-01-20 20:26:27,"@coffee_anytime Man, that is so funny",0,Twitter for iPhone,
Brad Olson | 🤓 The Nerd Collective,846052278960373760,"Vancouver, WA",2023-01-20 20:19:30,@JustDlANA @NerdCollective_ Maybe that’s the next big Web3 game!!! Find the Kopi Lusaka coffee bean 😂,0,Twitter for iPhone,
Ty Sporting,1599205740992155648,"Portland, OR",2023-01-20 20:16:40,@ChadinRipCity How about we drink more coffee so we can focus on solving the climate crisis more??,0,Twitter for iPhone,
Modern Rice 🏳️‍⚧️🏳️‍🌈,893260302954844160,"Portland, OR",2023-01-20 20:14:15,I made coffee and it turned out terribly,0,Twitter Web App,
Rex Bentley,1422284461031321600,"Portland, OR",2023-01-20 20:08:58,@coffee_anytime I wonder if he gets hot enough doing that to where he bakes,0,Twitter for iPhone,
Swagapino Praxisposting 🇵🇭,1243419404265648148,"Portland, USA",2023-01-20 20:01:33,3-in-1 coffee sachet packet &gt;&gt;&gt;&gt;&gt;&gt; espresso from a coffee shop,0,Twitter for Android,
Dariana🖤,190095133,"Portland, OR",2023-01-20 20:00:07,"They playing Under the Influence in this coffee shop

Gotta love my people",0,Twitter for iPhone,
Trill Walton,712636106,"Portland, OR",2023-01-20 19:30:50,chess dot com is down for maintenance my morning coffee routine is ruined,0,Twitter Web App,
Sayla,1225236847137132544,"Portland, OR",2023-01-20 19:29:29,"@AdamBorel1 Sure, what’s up, Adam!? Thank you for the coffee by the way, it is delicious!☕️",0,Twitter for iPhone,
laura (she/her) 🥨,15951124,"Portland, OR",2023-01-20 19:20:47,"@mikegcoleman I’m so sorry to hear this. If you want to meet in PDX for a coffee or to scream in the woods, lmk.",0,Twitter for iPhone,
Happyrock Coffee Is Always Antifascist 🏳️‍🌈,80579633,"465 portland ave Gladstone, Or",2023-01-20 19:18:30,Just posted a photo @ Happyrock Coffee Roasting Co https://t.co/DzUPLzWhPs,0,Instagram,"{'type': 'Point', 'coordinates': [-122.59421, 45.38008]}"
Evelyn,1073803616228597763,"Vancouver, WA",2023-01-20 19:10:20,Keep thinking about coffee dates I think going out and getting coffee sounds neat. I also keep thinking of couch cuddles. Brain all mush.,0,Twitter for iPhone,
happybythree (they/them),1334201005395808256,"Portland, OR",2023-01-20 19:10:08,@savetheb33 Sitting in a coffee shop right now listening to it and it’s weird that nobody around me knows how scared I am lmao,0,Twitter for iPhone,
GOLIKEHELLMACHINE,136080626,People's Republic of Portland,2023-01-20 19:09:12,can't wait for him to share his hipster coffee shop experiences,1,Twitter Web App,
Deke Bridges,207323988,"Portland, OR",2023-01-20 19:02:11,"@patrichard Was just talking about that show
over coffee. Happy Friday!",0,Twitter for Android,
Tay Octo,841047621116420096,"Portland, OR",2023-01-20 18:58:17,Drops on | Coffee Sloot | Trying to make Widows | ENVTUBER | https://t.co/OoRgc2q3u9,0,Streamlabs Twitter,
Kat,1338421930009882624,"Portland, OR",2023-01-20 18:54:16,"First radio show of the year, celebrating with a coffee https://t.co/bk07MGT2jK",0,Twitter for iPhone,
Alexx,30758297,"Portland, OR",2023-01-20 18:53:15,The coffee shop by work had gluten free banana muffins today. I'm very excited by this fact.,0,Twitter for Android,
Dr. Astrid Scholz,33561428,"Portland, OR",2023-01-20 18:50:37,@operaqueenie 😂You made me snort out my coffee!,0,Twitter Web App,
